newTime,origin_stop,month,time,quantity,timeOfDay
2017-01-01,600014,2017-01,Weekday (12:00am-8:29:59am),12479,01
2017-01-02,600014,2017-01,Weekday (8:30am-2:59:59pm),37296,02
2017-01-03,600014,2017-01,Weekday (3:00pm-6:59:59pm),92145,03
2017-01-04,600014,2017-01,Weekday (7:00pm-11:59:59pm),14702,04
2017-01-05,600014,2017-01,Weekend,24148,05
2017-02-01,600014,2017-02,Weekday (12:00am-8:29:59am),13996,01
2017-02-02,600014,2017-02,Weekday (8:30am-2:59:59pm),41352,02
2017-02-03,600014,2017-02,Weekday (3:00pm-6:59:59pm),108342,03
2017-02-04,600014,2017-02,Weekday (7:00pm-11:59:59pm),15628,04
2017-02-05,600014,2017-02,Weekend,21868,05
2017-03-01,600014,2017-03,Weekday (12:00am-8:29:59am),16911,01
2017-03-02,600014,2017-03,Weekday (8:30am-2:59:59pm),48608,02
2017-03-03,600014,2017-03,Weekday (3:00pm-6:59:59pm),118524,03
2017-03-04,600014,2017-03,Weekday (7:00pm-11:59:59pm),18050,04
2017-03-05,600014,2017-03,Weekend,21696,05
2017-04-01,600014,2017-04,Weekday (12:00am-8:29:59am),11971,01
2017-04-02,600014,2017-04,Weekday (8:30am-2:59:59pm),38968,02
2017-04-03,600014,2017-04,Weekday (3:00pm-6:59:59pm),87240,03
2017-04-04,600014,2017-04,Weekday (7:00pm-11:59:59pm),14405,04
2017-04-05,600014,2017-04,Weekend,27193,05
2017-05-01,600014,2017-05,Weekday (12:00am-8:29:59am),15635,01
2017-05-02,600014,2017-05,Weekday (8:30am-2:59:59pm),49764,02
2017-05-03,600014,2017-05,Weekday (3:00pm-6:59:59pm),121795,03
2017-05-04,600014,2017-05,Weekday (7:00pm-11:59:59pm),17010,04
2017-05-05,600014,2017-05,Weekend,22304,05
2017-06-01,600014,2017-06,Weekday (12:00am-8:29:59am),14530,01
2017-06-02,600014,2017-06,Weekday (8:30am-2:59:59pm),47496,02
2017-06-03,600014,2017-06,Weekday (3:00pm-6:59:59pm),114056,03
2017-06-04,600014,2017-06,Weekday (7:00pm-11:59:59pm),17487,04
2017-06-05,600014,2017-06,Weekend,24888,05
2017-07-01,600014,2017-07,Weekday (12:00am-8:29:59am),14133,01
2017-07-02,600014,2017-07,Weekday (8:30am-2:59:59pm),45551,02
2017-07-03,600014,2017-07,Weekday (3:00pm-6:59:59pm),112609,03
2017-07-04,600014,2017-07,Weekday (7:00pm-11:59:59pm),16962,04
2017-07-05,600014,2017-07,Weekend,25017,05
2017-08-01,600014,2017-08,Weekday (12:00am-8:29:59am),15712,01
2017-08-02,600014,2017-08,Weekday (8:30am-2:59:59pm),50146,02
2017-08-03,600014,2017-08,Weekday (3:00pm-6:59:59pm),122778,03
2017-08-04,600014,2017-08,Weekday (7:00pm-11:59:59pm),20524,04
2017-08-05,600014,2017-08,Weekend,26561,05
2017-09-01,600014,2017-09,Weekday (12:00am-8:29:59am),14600,01
2017-09-02,600014,2017-09,Weekday (8:30am-2:59:59pm),43777,02
2017-09-03,600014,2017-09,Weekday (3:00pm-6:59:59pm),103356,03
2017-09-04,600014,2017-09,Weekday (7:00pm-11:59:59pm),17397,04
2017-09-05,600014,2017-09,Weekend,27305,05
2017-10-01,600014,2017-10,Weekday (12:00am-8:29:59am),16063,01
2017-10-02,600014,2017-10,Weekday (8:30am-2:59:59pm),43934,02
2017-10-03,600014,2017-10,Weekday (3:00pm-6:59:59pm),113281,03
2017-10-04,600014,2017-10,Weekday (7:00pm-11:59:59pm),16798,04
2017-10-05,600014,2017-10,Weekend,21424,05
2017-11-01,600014,2017-11,Weekday (12:00am-8:29:59am),16865,01
2017-11-02,600014,2017-11,Weekday (8:30am-2:59:59pm),44855,02
2017-11-03,600014,2017-11,Weekday (3:00pm-6:59:59pm),114130,03
2017-11-04,600014,2017-11,Weekday (7:00pm-11:59:59pm),18794,04
2017-11-05,600014,2017-11,Weekend,18338,05
2017-12-01,600014,2017-12,Weekday (12:00am-8:29:59am),13120,01
2017-12-02,600014,2017-12,Weekday (8:30am-2:59:59pm),37768,02
2017-12-03,600014,2017-12,Weekday (3:00pm-6:59:59pm),75464,03
2017-12-04,600014,2017-12,Weekday (7:00pm-11:59:59pm),16655,04
2017-12-05,600014,2017-12,Weekend,26708,05
2018-01-01,600014,2018-01,Weekday (12:00am-8:29:59am),14675,01
2018-01-02,600014,2018-01,Weekday (8:30am-2:59:59pm),39754,02
2018-01-03,600014,2018-01,Weekday (3:00pm-6:59:59pm),94849,03
2018-01-04,600014,2018-01,Weekday (7:00pm-11:59:59pm),14868,04
2018-01-05,600014,2018-01,Weekend,19646,05
2018-02-01,600014,2018-02,Weekday (12:00am-8:29:59am),16236,01
2018-02-02,600014,2018-02,Weekday (8:30am-2:59:59pm),40966,02
2018-02-03,600014,2018-02,Weekday (3:00pm-6:59:59pm),110497,03
2018-02-04,600014,2018-02,Weekday (7:00pm-11:59:59pm),14854,04
2018-02-05,600014,2018-02,Weekend,20034,05
2018-03-01,600014,2018-03,Weekday (12:00am-8:29:59am),17667,01
2018-03-02,600014,2018-03,Weekday (8:30am-2:59:59pm),46896,02
2018-03-03,600014,2018-03,Weekday (3:00pm-6:59:59pm),117002,03
